Region,Scenario,Variable,Year,scengroup,IMACLIM,IMAGE,WITCH,maxwacc,minwacc
Africa,CoC-reference,Onshore,2020,NDC,0.09590999999999697,0.09934655256607856,0.09491187117794872,0.09934655256607856,0.09491187117794872
Africa,CoC-reference,Onshore,2025,NDC,0.09208999999999709,0.09329377012472409,0.09339840020908916,0.09339840020908916,0.09208999999999709
Africa,CoC-reference,Onshore,2030,NDC,0.0890599999999972,0.0879274657890903,0.09167473405169141,0.09167473405169141,0.0879274657890903
Africa,CoC-reference,Onshore,2035,NDC,0.08684999999999728,0.08332829793009244,0.0902540041609653,0.0902540041609653,0.08332829793009244
Africa,CoC-reference,Onshore,2040,NDC,0.0852399999999973,0.08085592856178751,0.08941738313978682,0.08941738313978682,0.08085592856178751
Africa,CoC-reference,Onshore,2045,NDC,0.08377999999999737,0.07840903234719546,0.08869677376214127,0.08869677376214127,0.07840903234719546
Africa,CoC-reference,Onshore,2050,NDC,0.0824399999999974,0.07602457021686651,0.08804936564134938,0.08804936564134938,0.07602457021686651
Africa,CoC-reference,Onshore,2055,NDC,0.08128999999999743,0.07367559013794035,0.08746118196389094,0.08746118196389094,0.07367559013794035
Africa,CoC-reference,Onshore,2060,NDC,0.08033999999999747,0.07153431938108507,0.08692182731334865,0.08692182731334865,0.07153431938108507
Africa,CoC-reference,Onshore,2065,NDC,0.07949999999999749,0.06982492056976887,0.08641994343033575,0.08641994343033575,0.06982492056976887
Africa,CoC-reference,Onshore,2070,NDC,0.07871999999999751,0.06840958922386299,0.08594393607524907,0.08594393607524907,0.06840958922386299
Africa,CoC-reference,Onshore,2075,NDC,0.07797999999999754,0.06698892281984183,0.08549602125545315,0.08549602125545315,0.06698892281984183
Africa,CoC-reference,Onshore,2080,NDC,0.07730999999999756,0.065568053539913,0.0850769943260376,0.0850769943260376,0.065568053539913
Africa,CoC-reference,Onshore,2085,NDC,0.07669999999999759,0.06460273775257754,0.08468448714008386,0.08468448714008386,0.06460273775257754
Africa,CoC-reference,Onshore,2090,NDC,0.0761199999999976,0.06368300481137792,0.08431634511688567,0.08431634511688567,0.06368300481137792
Africa,CoC-reference,Onshore,2095,NDC,0.07557999999999761,0.06275799125380642,0.08397077418492054,0.08397077418492054,0.06275799125380642
Africa,CoC-reference,Onshore,2100,NDC,0.07507999999999762,0.062007574933548776,0.08364603771566945,0.08364603771566945,0.062007574933548776
Africa,CoC-reference,Offshore,2020,NDC,0.10179999999999748,0.10352015736507258,0.10222648927313899,0.10352015736507258,0.10179999999999748
Africa,CoC-reference,Offshore,2025,NDC,0.0927599999999977,0.10270348012630082,0.09134564531069149,0.10270348012630082,0.09134564531069149
Africa,CoC-reference,Offshore,2030,NDC,0.08539999999999788,0.09943026433000378,0.08972369823932534,0.09943026433000378,0.08539999999999788
Africa,CoC-reference,Offshore,2035,NDC,0.08107999999999799,0.0961056991963087,0.0881685503077791,0.0961056991963087,0.08107999999999799
Africa,CoC-reference,Offshore,2040,NDC,0.07881999999999806,0.09348840685557158,0.08644679983327373,0.09348840685557158,0.07881999999999806
Africa,CoC-reference,Offshore,2045,NDC,0.07708999999999809,0.09103366663397802,0.08523965422335095,0.09103366663397802,0.07708999999999809
Africa,CoC-reference,Offshore,2050,NDC,0.07548999999999813,0.08929103361285243,0.08406001725461529,0.08929103361285243,0.07548999999999813
Africa,CoC-reference,Offshore,2055,NDC,0.07415999999999817,0.08771914501733315,0.08304976664708856,0.08771914501733315,0.07415999999999817
Africa,CoC-reference,Offshore,2060,NDC,0.07310999999999819,0.08616468360947202,0.08216100962132736,0.08616468360947202,0.07310999999999819
Africa,CoC-reference,Offshore,2065,NDC,0.0722099999999982,0.08485394778273,0.0813402872304896,0.08485394778273,0.0722099999999982
Africa,CoC-reference,Offshore,2070,NDC,0.07138999999999825,0.08366196839564898,0.08063330489189692,0.08366196839564898,0.07138999999999825
Africa,CoC-reference,Offshore,2075,NDC,0.07061999999999825,0.08265647133035024,0.07991543759260648,0.08265647133035024,0.07061999999999825
Africa,CoC-reference,Offshore,2080,NDC,0.06993999999999827,0.08178974255238677,0.07920560829735357,0.08178974255238677,0.06993999999999827
Africa,CoC-reference,Offshore,2085,NDC,0.06930999999999828,0.08101337687595897,0.07857835928899322,0.08101337687595897,0.06930999999999828
Africa,CoC-reference,Offshore,2090,NDC,0.06873999999999829,0.08018869589052544,0.0775151885700033,0.08018869589052544,0.06873999999999829
